YEAR,WEEK,NUMBER,RESULT
2009,30,16,0
2011,24,1,0
2014,36,4,0
2012,29,41,0
2008,33,50,1
2016,24,6,0
2007,30,1,0
2013,36,26,0
2011,25,2,0
2016,24,17,0
2007,22,9,0
2007,28,2,0
2014,27,13,0
2008,27,1,0
2015,34,32,1
2007,24,20,0
2011,26,50,0
2010,32,6,0
2014,40,13,0
2012,31,1,0
2015,36,6,0
2008,39,1,0
2008,33,50,0
2013,25,8,0
2010,30,6,0
2011,35,6,0
2014,29,20,1
2010,34,6,0
2011,32,6,0
2013,23,1,0
2014,38,2,0
2010,33,8,0
2009,24,13,0
2014,33,6,0
2007,34,50,1
2010,29,47,0
2014,33,6,0
2009,39,5,0
2009,23,50,0
2016,30,8,0
2016,29,21,0
2015,32,50,1
2012,35,3,0
2014,38,1,0
2009,20,5,0
2009,30,50,0
2008,32,7,0
2016,31,6,0
2007,28,50,0
2007,37,6,0
2010,29,48,0
2010,28,33,0
2009,21,50,0
2012,31,50,0
2009,25,50,0
2013,26,1,0
2009,24,50,0
2016,30,50,1
2013,27,3,0
2009,29,11,0
2010,30,2,0
2016,28,6,0
2010,29,1,0
2014,27,7,0
2009,24,50,0
2014,37,4,0
2015,35,1,0
2016,28,15,0
2012,33,23,1
2010,37,5,0
2007,24,6,0
2007,32,50,0
2015,27,35,0
2013,37,23,0
2012,26,12,0
2012,33,50,1
2014,28,35,0
2007,28,1,0
2010,38,6,0
2007,35,3,0
2009,24,30,0
2010,22,2,0
2015,22,36,0
2016,30,50,0
2009,24,31,0
2015,34,3,0
2010,29,50,0
2011,27,2,0
2013,24,3,0
2014,27,12,0
2009,23,24,0
2010,25,50,0
2012,27,43,1
2016,28,24,1
2011,35,29,0
2008,31,8,0
2012,28,14,1
2012,31,8,0
2015,31,1,0
2014,29,6,0
2013,34,22,0
2014,31,13,0
2009,36,5,0
2010,38,2,0
2010,34,1,0
2008,34,3,0
2012,30,48,1
2008,35,9,0
2010,29,7,0
2012,30,7,1
2008,30,25,0
2013,24,9,0
2010,27,4,0
2013,34,10,0
2009,28,5,0
2014,31,50,0
2009,27,7,0
2009,27,50,0
2012,29,13,0
2009,30,50,0
2015,39,36,0
2012,34,12,0
2008,39,13,0
2015,33,1,0
2008,27,12,0
2013,36,50,1
2008,34,7,1
2012,24,3,0
2014,39,3,0
2010,22,1,0
2007,32,4,0
2009,29,50,0
2009,24,50,0
2014,23,50,0
2014,36,4,0
2015,25,4,0
2010,24,16,0
2013,32,4,0
2012,34,50,0
2014,33,9,0
2015,32,1,0
2012,31,1,0
2016,30,50,0
2011,26,50,0
2011,31,27,0
2014,39,3,0
2014,39,2,0
2011,30,2,0
2010,28,43,0
2009,25,50,0
2010,29,1,0
2010,27,10,0
2015,25,3,0
2011,36,1,1
2014,36,3,0
2011,32,11,0
2010,34,2,0
2012,36,1,0
2014,32,9,0
2009,38,2,0
2011,22,12,0
2012,30,4,1
2007,31,50,0
2016,28,1,0
2011,36,1,0
2010,36,1,0
2009,21,9,0
2013,34,6,1
2015,33,9,0
2011,30,13,0
2007,31,1,0
2013,26,17,0
2009,31,25,0
2011,28,5,0
2010,34,1,0
2007,33,50,0
2012,36,2,0
2015,28,1,0
2010,36,6,0
2010,28,12,0
2013,31,15,0
2009,30,3,0
2015,30,35,1
2009,27,50,0
2008,39,3,0
2014,35,50,0
2015,29,27,0
2015,26,17,0
2015,27,42,0
2012,29,7,0
2009,28,1,0
2015,35,4,1
2010,33,17,1
2013,30,7,0
2010,27,8,0
2015,22,17,0
2009,24,50,0
2008,34,1,0
2012,33,2,0
2015,34,13,0
2013,23,10,0
2007,39,17,0
2011,29,50,0
2010,24,1,0
2014,26,44,0
2012,27,41,1
2013,36,50,0
2008,30,50,0
2012,25,37,0
2009,26,2,0
2007,30,5,0
2014,37,1,0
2015,30,50,0
2015,23,16,0
2008,36,1,0
2010,32,6,0
2009,31,39,0
2010,25,50,0
2015,30,3,0
2012,25,7,0
2012,37,10,0
2014,27,4,0
2011,36,2,0
2014,32,8,0
2013,27,14,0
2015,23,35,0
2008,26,2,0
2009,24,4,0
2011,28,36,0
2016,24,46,0
2010,29,5,0
2009,27,50,0
2007,22,2,0
2009,37,39,0
2009,20,30,0
2009,24,50,0
2015,27,4,0
2012,31,50,1
2009,20,3,0
2013,34,1,0
2012,26,3,0
2010,25,4,0
2013,26,9,0
2013,29,25,0
2009,29,35,0
2009,29,2,0
2016,25,47,0
2010,36,37,1
2015,29,7,0
2007,31,46,0
2012,28,2,0
2011,39,4,0
2009,24,50,0
2007,34,50,0
2013,30,8,0
2011,36,6,0
2011,30,5,0
2014,32,3,0
2015,37,3,0
2012,26,8,0
2014,36,10,1
2013,28,18,0
2007,37,2,0
2007,28,6,0
2010,28,50,0
2009,24,50,0
2010,33,1,0
2010,23,2,0
2010,30,8,0
2015,29,15,0
2010,35,18,0
2011,39,2,0
2012,31,23,1
2012,28,5,0
2013,32,24,0
2011,32,50,1
2016,30,5,0
2013,33,2,0
2014,35,5,0
2008,36,3,0
2012,33,1,0
2014,30,1,0
2007,32,50,0
2015,30,30,0
2013,24,23,0
2007,27,1,0
2009,24,50,0
2016,26,14,0
2011,35,3,0
2010,36,1,0
2014,30,7,0
2015,29,19,0
2009,36,3,0
2013,39,11,0
2015,30,50,0
2015,27,15,0
2007,39,3,0
2011,27,37,0
2013,34,8,0
2014,26,3,0
2012,31,50,1
2007,36,1,0
2011,27,50,0
2011,38,47,0
2014,29,1,0
2007,22,3,0
2008,34,1,0
2008,32,1,0
2009,31,1,0
2013,32,6,0
2012,27,15,0
2015,38,3,0
2011,24,27,0
2013,38,33,0
2014,26,50,0
2009,30,50,0
2015,24,36,0
2011,32,9,0
2016,29,50,1
2014,29,1,0
2008,26,1,0
2015,28,13,0
2007,29,17,0
2007,34,35,0
2012,37,9,0
2014,23,22,0
2016,31,5,0
2012,37,8,0
2010,37,2,0
2015,28,24,0
2014,37,1,0
2015,28,5,0
2011,27,26,0
2011,36,5,0
2011,37,23,0
2014,34,32,0
2009,24,50,0
2016,28,15,0
2012,32,15,0
2011,33,8,0
2013,33,2,0
2010,34,2,0
2015,23,50,0
2010,31,5,0
2013,35,12,0
2007,27,2,0
2009,33,10,0
2012,30,19,1
2008,29,2,0
2009,38,3,0
2012,31,50,1
2016,30,50,1
2007,25,2,0
2011,35,32,0
2009,26,4,0
2014,39,4,0
2008,30,15,0
2012,28,9,1
2011,30,9,0
2008,34,28,0
2011,32,8,0
2010,26,50,0
2012,31,39,0
2009,26,2,0
2008,36,4,0
2015,33,1,0
2008,33,2,0
2009,30,2,0
2010,32,50,0
2012,31,5,0
2008,31,1,0
2014,34,3,0
2008,37,7,0
2015,35,14,1
2009,39,14,0
2007,34,16,0
2008,36,4,0
2010,38,2,0
2008,33,50,0
2015,31,5,0
2011,32,1,0
2012,31,14,0
2009,24,50,0
2012,27,9,0
2008,30,1,0
2011,31,4,0
2010,39,2,0
2009,37,3,0
2010,24,1,0
2009,27,4,0
2011,23,16,0
2015,30,50,0
2010,33,2,0
2012,36,5,1
2007,30,26,0
2010,35,1,0
2007,39,14,0
2014,28,1,0
2012,34,1,0
2014,23,29,0
2010,25,50,0
2011,35,11,0
2014,28,14,0
2014,33,2,0
2013,34,5,0
2010,24,21,0
2008,32,2,0
2007,34,50,0
2012,24,6,0
2011,37,1,0
2010,36,2,0
2011,33,13,0
2007,33,50,0
2015,27,41,0
2013,29,4,0
2007,24,25,0
2008,28,2,0
2014,35,3,0
2015,33,6,0
2012,31,13,1
2013,30,3,0
2009,35,1,0
2010,35,6,0
2009,39,3,0
2012,35,50,0
2009,21,16,0
2014,28,28,0
2007,31,1,0
2015,30,13,0
2014,32,7,0
2012,25,2,0
2013,31,50,0
2007,26,4,0
2010,30,5,0
2010,34,4,0
2016,29,19,1
2014,27,3,0
2013,28,50,0
2010,37,7,0
2012,28,2,0
2011,36,2,0
2009,34,10,0
2007,32,30,0
2007,33,3,0
2014,29,2,0
2014,38,3,0
2011,30,10,1
2009,37,2,0
2014,38,2,1
2015,27,50,0
2010,34,5,0
2016,30,2,0
2011,35,11,0
2010,36,4,0
2011,29,2,0
2010,33,2,0
2014,26,12,0
2010,27,50,0
2011,25,2,0
2007,29,2,0
2009,25,36,0
2007,33,1,0
2009,37,1,0
2011,31,3,0
2009,32,1,0
2016,31,15,1
2011,27,25,0
2014,33,21,0
2015,32,19,0
2010,32,30,0
2007,33,50,1
2008,28,17,0
2015,32,23,0
2014,25,38,0
2010,29,23,0
2015,23,27,0
2011,36,1,0
2011,23,9,0
2009,36,1,0
2012,38,1,0
2012,31,1,0
2010,30,2,0
2012,28,29,0
2008,33,50,0
2010,28,1,0
2011,29,21,1
2009,20,4,0
2012,30,23,1
2012,28,7,0
2010,26,26,0
2010,28,27,0
2013,30,6,0
2013,28,27,0
2014,31,4,0
2012,24,3,0
2008,25,1,0
2014,35,6,0
2014,32,4,0
2008,32,2,0
2009,21,14,0
2008,35,1,0
2010,29,7,0
2010,38,3,0
2013,32,14,0
2008,27,20,0
2011,30,2,0
2008,29,3,0
2009,24,10,0
2013,37,31,0
2012,36,10,0
2011,28,4,0
2008,33,50,0
2015,31,47,0
2015,29,50,1
2013,36,7,0
2009,36,2,0
2007,31,1,0
2007,31,15,1
2016,28,1,0
2009,30,10,0
2008,37,8,0
2008,36,2,0
2013,28,9,0
2016,30,40,0
2008,39,20,0
2012,28,4,0
2009,21,36,0
2012,27,6,0
2011,26,40,0
2008,36,8,0
2014,31,10,0
2013,38,9,0
2011,38,2,0
2012,30,50,1
2012,31,50,1
2013,29,2,0
2009,23,2,0
2007,25,1,0
2010,26,45,0
2011,28,50,0
2009,26,1,0
2009,25,4,0
2016,30,50,0
2010,24,2,0
2016,27,36,0
2015,29,33,0
2009,29,2,0
2015,31,36,1
2011,27,39,0
2007,28,50,0
2010,25,45,0
2009,28,3,0
2012,30,4,1
2016,30,16,1
2015,35,1,0
2009,39,1,0
2015,31,1,0
2012,25,1,0
2014,36,13,1
2010,24,47,0
2007,34,50,0
2012,26,1,0
2009,36,1,0
2007,34,50,0
2013,27,12,0
2013,33,10,0
2013,33,5,0
2014,30,11,0
2016,31,1,0
2011,26,1,0
2016,25,20,0
2010,27,5,0
2015,31,28,0
2015,28,7,0
2012,32,42,1
2009,24,14,0
2010,33,7,0
2014,38,5,0
2007,32,9,0
2011,26,37,0
2014,34,45,0
2008,31,3,0
2010,31,9,0
2015,39,11,0
2011,34,1,0
2010,31,12,0
2013,28,36,0
2015,33,9,0
2011,28,13,0
2008,27,2,0
2016,24,8,0
2015,31,11,0
2012,27,6,0
2013,23,4,0
2007,34,50,0
2009,27,4,0
2015,30,48,0
2007,33,50,0
2009,32,9,0
2014,32,10,0
2012,33,5,0
2009,33,2,0
2014,28,50,0
2016,28,1,0
2009,25,45,0
2011,36,5,0
2008,29,1,0
2008,37,3,0
2009,31,2,0
2014,40,1,0
2011,32,10,0
2012,33,27,0
2014,32,19,1
2013,37,42,0
2007,32,6,0
2015,32,50,0
2007,29,36,0
2015,39,10,0
2007,33,50,0
2009,36,11,0
2007,30,50,0
2009,20,3,0
2011,34,3,0
2015,27,39,0
2007,28,2,0
2010,33,2,0
2008,29,32,0
2015,29,44,0
2007,34,50,0
2010,32,1,0
2014,36,2,0
2012,39,11,0
2013,31,9,0
2014,31,14,0
2010,27,20,0
2010,26,2,0
2012,34,43,1
2010,37,5,0
2010,25,43,0
2016,28,50,1
2011,30,21,1
2012,28,1,0
2010,25,1,0
2007,37,7,0
2014,30,7,0
2011,35,19,0
2015,33,2,0
2012,36,15,0
2012,27,2,0
2010,35,1,0
2007,33,4,0
2014,37,6,0
2013,37,9,0
2007,28,5,0
2011,39,2,0
2007,32,50,0
2010,25,50,0
2013,33,12,0
2010,30,1,0
2008,34,1,0
2011,29,12,0
2010,29,6,0
2010,26,1,0
2011,35,12,1
2014,34,17,0
2010,30,2,0
2012,28,2,0
2010,39,1,0
2012,26,9,0
2016,31,50,0
2012,34,2,0
2011,30,23,0
2009,35,2,0
2007,31,9,0
2013,38,13,0
2009,28,2,0
2011,23,1,0
2010,27,11,0
2011,26,50,0
2007,33,23,0
2014,27,31,0
2015,26,20,0
2011,32,7,0
2010,25,50,0
2009,31,2,0
2009,27,9,0
2011,29,20,0
2009,23,3,0
2008,30,1,0
2010,35,4,0
2009,27,10,0
2010,35,2,0
2010,29,5,0
2012,32,5,0
2010,34,1,0
2013,31,6,0
2013,27,1,0
2011,38,1,0
2010,26,42,0
2014,36,3,0
2009,21,4,0
2011,35,23,1
2013,28,41,0
2016,23,2,0
2011,24,22,0
2011,39,5,0
2010,31,5,0
2009,24,50,0
2012,31,6,1
2015,34,50,1
2008,39,5,0
2013,25,17,0
2015,24,23,0
2007,32,25,1
2010,27,7,0
2009,25,50,0
2015,22,1,0
2010,22,4,0
2012,35,32,0
2007,29,3,0
2012,23,10,0
2013,39,39,1
2009,23,4,0
2012,36,7,0
2012,36,12,0
2008,35,10,0
2011,24,6,0
2016,30,15,0
2014,39,7,0
2007,33,50,0
2015,24,29,0
2010,30,5,0
2010,25,50,0
2015,27,50,0
2016,27,48,0
2007,28,32,0
2016,26,34,0
2008,32,3,0
2014,25,50,0
2009,38,1,0
2012,28,20,1
2009,33,32,0
2016,29,6,0
2013,27,50,0
2008,32,2,0
2010,30,1,0
2015,29,5,0
2009,30,9,0
2010,29,13,0
2007,24,1,0
2009,32,50,0
2014,36,27,0
2009,24,50,0
2014,33,2,0
2010,24,5,0
2012,31,50,1
2015,31,15,0
2007,32,31,0
2007,34,8,0
2012,31,50,1
2007,32,18,0
2013,33,22,0
2015,30,23,0
2016,30,50,1
2012,38,1,0
2011,29,12,0
2012,37,50,1
2014,35,12,0
2010,31,2,0
2014,34,32,0
2014,28,22,0
2010,30,16,1
2008,35,1,0
2012,29,3,0
2010,33,1,0
2015,34,6,0
2011,29,50,0
2013,36,38,1
2015,39,3,0
2009,21,21,0
2011,35,1,0
2012,24,7,0
2015,28,20,0
2012,34,18,0
2011,24,6,0
2015,35,47,1
2009,23,5,0
2015,35,6,0
2009,29,1,0
2010,34,50,0
2015,36,1,0
2010,29,16,0
2011,22,21,0
2007,34,3,0
2011,35,2,0
2007,23,3,0
2008,26,6,0
2015,33,8,0
2008,25,1,0
2010,32,2,0
2011,24,4,0
2013,33,7,1
2010,28,50,0
2011,26,3,0
2016,27,50,1
2011,35,3,0
2016,31,50,1
2009,28,35,0
2009,24,50,0
2010,30,2,0
2010,28,33,0
2011,37,18,0
2014,32,1,0
2013,29,3,0
2013,24,35,0
2007,30,1,0
2013,31,50,0
2014,32,12,0
2009,38,2,0
2016,30,50,1
2010,22,4,0
2016,29,18,0
2007,32,50,0
2014,26,2,0
2015,32,1,0
2016,31,12,0
2009,31,4,0
2015,26,14,0
2012,37,27,1
2016,27,25,0
2011,30,15,0
2010,26,13,0
2015,33,1,0
2014,30,8,0
2011,34,13,0
2008,35,16,1
2015,30,3,0
2012,38,6,1
2015,24,13,0
2011,32,1,0
2009,25,50,0
2010,27,12,0
2016,31,39,1
2009,32,9,0
2015,28,9,0
2008,29,2,0
2009,36,2,0
2011,34,7,0
2008,25,1,0
2013,28,6,0
2014,38,4,0
2009,35,1,0
2016,23,1,0
2010,30,3,1
2014,26,37,0
2013,25,3,0
2014,37,3,0
2007,30,1,0
2014,36,19,1
2013,25,17,0
2012,32,6,0
2012,36,13,0
2009,22,4,0
2010,36,46,0
2009,25,1,0
2011,33,2,0
2009,38,4,0
2015,28,1,0
2014,31,18,0
2012,36,23,0
2012,23,9,0
2011,27,2,0
2010,27,4,0
2008,34,1,0
2010,36,4,0
2011,21,1,0
2014,29,3,0
2014,36,3,0
2015,29,8,0
2014,24,3,0
2015,29,2,0
2012,32,9,0
2013,36,4,0
2015,32,3,0
2007,37,1,0
2009,27,7,0
2016,28,50,1
2014,37,1,0
2010,28,50,0
2015,23,50,0
2011,24,21,0
2016,24,6,0
2015,34,50,0
2015,27,11,0
2015,31,31,0
2007,32,50,0
2012,33,6,0
2015,29,2,0
2010,25,4,0
2015,37,9,0
2008,35,29,0
2011,33,29,0
2013,34,8,0
2010,35,1,0
2011,26,50,0
2015,30,50,0
2011,32,37,0
2009,27,2,0
2007,32,1,0
2014,23,10,0
2009,30,6,0
2015,29,4,0
2010,32,2,0
2014,28,10,0
2010,33,4,1
2010,28,50,0
2010,29,9,0
2007,29,6,0
2011,20,5,0
2016,30,50,1
2009,33,15,0
2013,35,1,1
2015,29,2,0
2012,31,3,0
2010,36,50,0
2015,24,7,0
2013,34,42,0
2015,37,7,0
2012,31,40,1
2014,37,5,0
2009,31,5,0
2010,35,50,0
2012,37,21,0
2014,36,2,0
2015,37,18,0
2011,33,5,0
2007,34,4,0
2016,28,43,1
2016,30,50,1
2007,39,2,0
2015,24,10,0
2014,26,6,0
2011,25,3,0
2012,35,2,0
2012,39,1,0
2011,33,1,0
2011,26,50,0
2011,26,27,0
2015,33,47,0
2009,34,1,0
2013,30,38,0
2014,27,1,0
2011,38,6,0
2015,30,50,0
2013,27,27,0
2010,24,23,0
2009,36,20,0
2011,39,7,0
2016,29,42,1
2015,36,1,0
2013,23,5,0
2008,28,17,0
2009,22,1,0
2009,33,2,0
2013,32,4,0
2016,30,37,1
2009,28,2,0
2007,36,1,0
2008,29,1,0
2012,31,50,0
2010,31,15,1
2013,32,21,1
2007,29,1,0
2009,29,15,0
2010,33,4,0
2008,32,2,0
2014,27,5,0
2010,27,2,0
2010,35,15,0
2008,32,1,0
2010,30,50,1
2011,36,1,0
2010,29,7,0
2009,31,12,0
2012,31,20,1
2014,32,17,0
2015,23,5,0
2012,38,10,0
2009,29,9,0
2010,29,13,0
2010,27,2,0
2009,24,50,0
2009,39,3,0
2013,37,1,0
2012,30,2,1
2012,28,3,0
2015,29,5,0
2007,30,1,0
2014,26,19,0
2007,35,38,1
2008,25,3,0
2012,37,17,0
2009,23,7,0
2014,24,50,0
2010,23,3,0
2012,30,10,1
2009,34,2,0
2010,31,15,1
2009,25,11,0
2007,29,3,0
2008,34,12,1
2007,27,18,0
2007,33,1,1
2015,25,1,0
2011,29,50,0
2009,25,3,0
2015,26,22,0
2007,31,10,0
2011,30,11,0
2010,29,2,0
2012,30,7,0
2009,31,50,0
2010,26,5,0
2011,31,6,0
2012,39,1,0
2010,28,50,0
2011,29,50,0
2012,26,12,0
2015,38,6,0
2016,29,2,0
2011,35,1,0
2009,24,50,0
2010,29,50,0
2016,27,19,0
2012,37,50,1
2013,24,7,0
2009,32,4,0
2013,33,1,0
2015,39,1,0
2007,32,33,0
2016,30,1,1
2016,27,50,1
2010,30,6,0
2012,36,9,0
2010,26,2,0
2014,28,5,0
2016,26,1,0
2012,38,3,0
2013,30,5,0
2008,39,1,0
2012,29,4,0
2009,29,50,0
2009,29,1,0
2009,25,5,0
2011,26,35,0
2013,28,5,0
2012,39,23,0
2012,27,34,1
2011,38,5,0
2010,30,40,0
2010,34,28,0
2013,25,22,0
2015,32,36,1
2016,30,6,0
2015,32,47,1
2010,28,47,0
2016,25,50,0
2010,26,27,0
2015,31,50,0
2007,30,10,0
2007,35,3,0
2012,36,1,0
2009,22,3,0
2013,23,2,0
2013,35,17,0
2013,36,4,0
2011,23,50,0
2008,39,13,0
2015,39,5,1
2009,29,29,0
2015,29,9,0
2011,26,8,0
2009,25,50,0
2012,25,14,0
2013,29,47,1
2008,29,8,0
2015,29,50,0
2015,28,2,0
2009,29,36,0
2011,32,8,1
2010,29,1,0
2008,30,26,0
2015,30,50,0
2012,27,2,0
2011,30,3,0
2013,31,8,0
2010,27,5,0
2007,32,32,0
2009,21,3,0
2011,31,8,0
2009,35,1,0
2008,31,7,0
2010,28,1,0
2014,35,18,0
2012,26,2,0
2014,31,4,0
2015,38,2,0
2009,38,2,0
2012,27,8,0
2013,26,8,0
2013,38,17,0
2012,29,50,0
2015,31,42,1
2016,24,24,0
2007,31,4,0
2011,35,5,0
2016,29,3,0
2008,33,30,1
2015,29,34,1
2010,33,27,1
2008,26,15,0
2011,39,1,0
2015,27,21,0
2013,24,50,0
2009,24,50,0
2010,23,1,0
2008,33,50,0
2007,30,1,0
2011,33,27,0
2015,29,50,1
2009,25,50,0
2008,26,4,0
2014,34,2,0
2014,38,2,0
2010,29,17,0
2014,38,3,0
2010,27,6,0
2014,31,2,0
2011,23,22,0
2012,33,17,0
2011,20,3,0
2009,36,18,0
2013,26,14,0
2011,28,30,0
2009,32,20,0
2008,30,2,0
2009,22,24,0
2009,23,45,0
2013,35,50,0
2012,25,3,0
2013,35,29,0
2010,30,50,0
2009,27,50,0
2013,37,23,0
2010,28,34,0
2014,34,3,0
2009,23,14,0
2013,30,6,0
2010,32,2,0
2011,31,7,1
2014,29,8,0
2014,28,31,0
2012,25,12,0
2012,31,18,1
2014,38,4,0
2009,27,24,0
2008,37,1,0
2011,37,29,0
2016,31,50,1
2008,30,39,0
2016,28,50,0
2008,32,5,0
2007,37,1,0
2015,30,25,0
2014,23,33,0
2011,26,18,0
2008,28,3,0
2011,25,30,0
2016,30,4,0
2012,32,11,0
2013,36,34,0
2013,29,5,0
2013,32,6,0
2009,35,1,0
2012,27,18,1
2013,32,34,0
2009,38,8,0
2013,28,48,0
2008,34,50,0
2008,33,5,0
2015,29,1,0
2011,31,3,0
2012,33,17,0
2015,35,21,0
2014,40,17,0
2016,29,1,0
2009,32,33,0
2008,29,3,0
2007,26,1,0
2013,32,1,0
2008,29,5,0
2008,39,19,0
2008,35,2,0
2011,23,2,0
2012,31,50,1
2013,24,21,0
2013,24,17,0
2011,29,18,0
2012,31,46,1
2010,36,2,0
2012,34,39,0
2012,35,2,0
2011,29,4,0
2008,31,1,0
2014,32,27,0
2008,23,13,0
2009,32,8,0
2014,30,2,0
2013,23,22,0
2013,35,40,1
2011,37,23,0
2014,34,4,0
2015,31,10,0
2013,27,43,0
2010,27,25,0
2015,31,11,1
2015,26,50,0
2008,25,3,0
2014,32,29,0
2013,31,50,1
2010,26,5,0
2009,33,1,0
2009,30,2,0
2007,33,50,0
2008,36,28,1
2012,25,3,0
2008,26,2,0
2015,32,50,0
2011,29,50,0
2014,32,6,0
2013,31,1,0
2010,28,7,0
2008,35,50,0
2016,31,12,1
2009,35,1,0
2014,23,14,0
2012,30,12,1
2013,36,33,1
2016,29,12,1
2011,26,8,0
2008,37,11,0
2013,36,20,0
2011,23,15,0
2012,30,21,1
2008,26,9,0
2007,31,13,0
2009,27,3,0
2008,31,2,0
2008,25,1,0
2007,33,50,0
2007,26,1,0
2010,35,5,0
2009,27,10,0
2015,29,11,0
2013,24,34,0
2013,37,46,0
2009,20,1,0
2016,30,50,0
2013,25,19,0
2013,35,5,0
2010,34,18,0
2010,25,31,0
2010,32,7,0
2009,32,9,0
2007,30,8,0
2014,33,13,0
2011,36,6,0
2016,24,7,0
2007,26,8,0
2010,34,38,0
2008,25,4,0
2009,25,3,0
2012,35,22,0
2007,32,11,0
2013,29,2,0
2010,36,1,0
2011,33,2,0
2011,31,3,0
2013,27,24,0
2011,39,3,0
2009,32,2,0
2015,33,3,0
2009,29,5,0
2014,32,34,0
2007,37,1,0
2009,28,27,0
2013,27,8,0
2014,35,12,1
2009,35,2,0
2009,34,2,0
2010,38,2,0
2012,36,13,0
2011,26,17,0
2011,32,50,1
2007,33,50,0
2015,28,50,0
2010,36,7,0
2012,39,9,0
2015,30,9,0
2010,25,8,0
2012,39,32,0
2009,20,13,0
2010,25,3,0
2009,26,39,0
2016,30,37,1
2009,30,2,0
2008,30,50,0
2015,38,9,0
2010,37,3,1
2010,30,1,0
2012,33,12,0
2014,30,2,0
2016,30,25,0
2014,28,3,0
2008,28,5,0
2014,38,1,0
2011,27,10,0
2016,31,34,1
2010,32,2,0
2015,31,35,0
2011,31,10,0
2011,25,1,0
2015,23,3,0
2010,28,6,0
2007,31,2,0
2007,33,50,0
2009,24,1,0
2010,29,2,0
2014,29,35,0
2015,27,11,0
2010,30,6,0
2007,30,38,0
2013,31,50,0
2015,25,16,0
2015,33,50,0
2009,34,1,0
2013,24,7,0
2011,36,26,0
2011,35,7,0
2012,31,50,1
2010,38,7,0
2011,38,2,0
2007,30,50,0
2009,27,10,0
2008,30,19,0
2011,26,50,0
2008,36,27,0
2012,37,3,0
2010,36,8,0
2009,24,50,0
2014,31,24,0
2014,37,1,0
2010,32,4,0
2007,22,4,0
2012,26,5,0
2010,34,1,0
2013,24,47,0
2015,29,16,0
2015,36,7,0
2009,29,50,0
2010,37,7,0
2016,30,50,1
2010,32,7,0
2014,26,9,0
2012,29,34,1
2008,35,3,0
2012,37,23,0
2012,30,2,1
2012,32,23,0
2007,28,1,0
2015,34,48,1
2010,24,10,0
2012,27,47,0
2013,24,1,0
2015,31,13,0
2011,28,1,0
2013,31,50,0
2010,32,39,0
2007,33,5,0
2008,30,7,0
2008,26,11,0
2015,25,3,0
2011,39,2,0
2009,24,50,0
2012,36,5,0
2008,37,2,0
2014,37,4,0
2014,31,2,0
2014,32,4,0
2011,28,2,0
2013,31,50,0
2010,25,50,0
2013,23,3,0
2011,24,50,0
2014,38,4,0
2011,20,1,0
2013,29,36,0
2011,25,1,0
2008,35,2,0
2014,35,3,0
2010,27,8,0
2012,27,5,0
2010,25,7,0
2008,28,50,0
2015,27,50,0
2009,34,6,0
2008,33,6,0
2012,36,2,0
2011,22,50,0
2015,36,8,0
2013,23,9,0
2011,36,1,0
2008,28,19,0
2015,30,10,0
2010,28,50,0
2016,29,50,0
2016,25,18,0
2011,27,16,0
2007,31,29,1
2012,29,50,1
2014,27,17,0
2013,29,15,0
2010,39,1,0
2014,33,3,0
2007,29,4,0
2011,29,22,0
2011,39,7,0
2014,33,15,1
2011,26,50,0
2010,32,12,0
2008,35,2,0
2010,36,8,0
2013,33,1,0
2014,24,22,0
2015,30,2,0
2012,32,50,1
2012,30,1,0
2015,34,50,0
2014,24,2,0
2011,34,1,0
2008,33,9,0
2009,31,17,0
2007,30,3,0
2014,36,2,0
2009,37,3,0
2010,28,50,0
2013,37,37,0
2012,39,6,0
2016,31,21,0
2009,27,50,0
2009,28,50,0
2009,35,2,0
2009,32,2,0
2013,27,50,0
2010,29,2,0
2011,37,11,0
2010,37,3,0
2007,30,2,0
2016,29,38,1
2014,39,1,0
2011,21,1,0
2012,32,2,0
2011,26,39,0
2014,32,14,0
2016,28,36,0
2011,38,21,0
2010,26,50,0
2012,35,30,0
2015,30,50,0
2011,34,9,1
2008,33,7,0
2014,24,50,0
2016,26,50,0
2016,26,2,0
2007,34,1,0
2007,25,12,0
2015,25,11,0
2010,25,37,0
2014,35,17,0
2008,37,6,0
2009,33,3,0
2010,27,23,0
2014,38,10,0
2013,26,24,0
2013,37,1,0
2009,23,4,0
2012,37,50,0
2010,24,16,0
2015,30,16,0
2008,37,5,0
2014,34,15,0
2011,35,1,0
2016,25,46,0
2012,29,49,0
2016,29,9,0
2014,34,16,0
2007,38,2,0
2010,37,1,0
2009,24,31,0
2007,34,2,0
2010,34,6,0
2010,23,2,0
2013,36,26,0
2012,35,50,0
2008,32,35,0
2010,24,2,0
2013,33,19,0
2008,39,50,0
2015,22,9,0
2016,30,50,1
2007,27,3,0
2008,33,9,1
2009,24,50,0
2012,37,50,1
2011,26,4,0
2015,26,4,0
2012,34,6,0
2012,32,9,0
2010,28,50,0
2010,33,23,1
2015,30,17,0
2013,24,15,0
2013,29,16,0
2010,36,5,0
2007,30,50,0
2007,28,10,1
2007,31,49,0
2016,29,50,0
2015,24,13,0
2014,23,26,0
2012,38,1,0
2013,34,31,1
2008,33,1,0
2012,33,34,1
2008,26,5,0
2011,30,19,0
2012,31,27,1
2011,35,14,0
2009,23,25,0
2010,34,44,1
2011,26,20,0
2012,32,50,0
2015,32,17,1
